from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_minutes
NSW,Berowra,-33.568,151.047,NSW,Parkes,-30.887,147.373,598231,26843
NSW,Berowra,-33.568,151.047,NSW,Parramatta,-33.809,151.011,35659,3071
NSW,Berowra,-33.568,151.047,NSW,Paterson,-32.40694,151.91806,215750,10463
NSW,Berowra,-33.568,151.047,NSW,Reid,-33.853,151.084,42722,3600
NSW,Berowra,-33.568,151.047,NSW,Richmond,-28.511,153.363,782328,32848
NSW,Berowra,-33.568,151.047,NSW,Riverina,-34.427,146.700,542879,21520
NSW,Berowra,-33.568,151.047,NSW,Robertson,-33.382,151.213,65019,4014
NSW,Berowra,-33.568,151.047,NSW,Shortland,-33.112,151.617,124908,6709
NSW,Berowra,-33.568,151.047,NSW,Sydney,-33.895,151.200,54768,3824
NSW,Berowra,-33.568,151.047,NSW,Warringah,-39.076120,125.816959,NONE,NONE
NSW,Berowra,-33.568,151.047,NSW,Watson,-33.908,151.077,46699,3922
NSW,Berowra,-33.568,151.047,NSW,Wentworth,-33.883,151.253,55289,3851
NSW,Berowra,-33.568,151.047,NSW,Werriwa,-33.981,150.843,74721,4611
NSW,Berowra,-33.568,151.047,NSW,Whitlam,-34.534,150.552,159603,7967
NSW,Berowra,-33.568,151.047,NSW,Sydney Airport,-33.940248,151.175186,62966,4161
NSW,Blaxland,-33.888,151.000,NSW,Bradfield,-33.732,151.146,27984,2480
NSW,Blaxland,-33.888,151.000,NSW,Calare,-33.306,148.922,257325,12930
NSW,Blaxland,-33.888,151.000,NSW,Chifley,-33.735,150.838,31503,1975
NSW,Blaxland,-33.888,151.000,NSW,Cook,-34.031,151.100,29208,2253
NSW,Blaxland,-33.888,151.000,NSW,Cowper,-30.384,152.870,528622,21393
NSW,Blaxland,-33.888,151.000,NSW,Cunningham,-34.259,150.916,55451,3651
NSW,Blaxland,-33.888,151.000,NSW,Dobell,-33.248,151.366,103075,5821
NSW,Blaxland,-33.888,151.000,NSW,Eden-Monaro,-36.292,149.344,407356,17005
NSW,Blaxland,-33.888,151.000,NSW,Farrer,-32.501,143.311,958723,40765
NSW,Blaxland,-33.888,151.000,NSW,Fowler,-33.900,150.877,15085,1399
NSW,Blaxland,-33.888,151.000,NSW,Gilmore,-35.067,150.398,183177,8924
NSW,Blaxland,-33.888,151.000,NSW,Grayndler,-33.897,151.148,17139,1910
NSW,Blaxland,-33.888,151.000,NSW,Greenway,-33.733,150.913,37893,2186
NSW,Blaxland,-33.888,151.000,NSW,Hughes,-33.992,150.975,18482,1792
NSW,Blaxland,-33.888,151.000,NSW,Hume,-34.409,149.045,261483,10531
NSW,Blaxland,-33.888,151.000,NSW,Hunter,-32.375,150.778,255971,11721
NSW,Blaxland,-33.888,151.000,NSW,Kingsford Smith,-33.949,151.231,29630,2108
NSW,Blaxland,-33.888,151.000,NSW,Lindsay,-33.751,150.711,38983,2461
